model,calls,input_tokens_logged,output_tokens_logged,input_tokens_est,output_tokens_est,migrated_rows,price_usd_per_M_in,price_usd_per_M_out,total_cost_usd,cost_per_response_usd
aya_expanse,3420,0,0,1277511,368661,2079,0.5,1.5,1.1917,0.000348
claude_haiku_4_5,3420,1277763,767164,0,0,0,1.0,5.0,5.1136,0.001495
claude_opus_4_7,3420,0,0,1277511,472377,0,15.0,75.0,54.5909,0.015962
cohere_command_a,3420,452249,331226,779172,236451,2079,2.5,10.0,8.7553,0.00256
gemini_3_1_flash_lite,3420,1033032,375135,0,0,0,0.25,1.5,0.821,0.00024
gemini_3_flash,3420,1033032,422728,0,0,0,0.5,3.0,1.7847,0.000522
gemini_3_pro,3420,1033032,353807,0,0,0,2.0,12.0,6.3117,0.001846
gemma_3_27b,3420,1060334,369880,0,0,0,0.2,0.2,0.286,8.4e-05
gpt_4o_mini,3420,401976,156976,779172,233822,2079,0.15,0.6,0.4117,0.00012
gpt_5_mini,3420,400635,345521,779172,253868,2079,0.25,2.0,1.4937,0.000437
llama_3_3_70b,3420,429789,166490,779172,162437,2079,0.5,0.8,0.8676,0.000254
llama_4_maverick,3418,490676,143233,779172,207585,2079,0.27,0.85,0.6411,0.000188
medgemma_27b,2079,0,0,779172,247923,2079,0.3,0.5,0.3577,0.000172
medgemma_4b,2079,0,0,779172,492285,2079,0.1,0.2,0.1764,8.5e-05
