word_quartile,lang,n,mean_dist_to_centroid,mean_pairwise_cos_dist,mean_words
0,en,449,0.7690549952996689,0.5981102347900321,56.6
0,hi,667,0.7673867052163786,0.594179851123936,52.6
0,mr,2677,0.7267493501285386,0.5319485165952504,51.3
1,en,1347,0.768147029100639,0.5954207952954915,71.4
1,hi,1016,0.746147190415191,0.5605064036690586,70.8
1,mr,1444,0.6854612261074566,0.47398650760115246,69.8
2,en,2016,0.7617918828218664,0.5861246859651696,80.7
2,hi,1341,0.7351258913776011,0.5442512152970287,81.2
2,mr,527,0.6597652762407168,0.43996428207826643,80.0
3,en,1210,0.7531801796137566,0.5744071092490306,96.4
3,hi,1998,0.7342561964175282,0.542527404207038,111.7
3,mr,374,0.7260567247797395,0.5310817259065039,130.5
