gen_model,lang,n,mean_dist_to_centroid,mean_pairwise_cos_dist,mean_words
aya_expanse,en,380,0.7563881695544924,0.5800745580114312,79.1
aya_expanse,hi,380,0.7369232249586485,0.5477871202637012,76.1
aya_expanse,mr,380,0.7299522543691845,0.5370095849136907,54.7
claude_haiku_4_5,en,380,0.7544982616480049,0.5768475779222064,84.9
claude_haiku_4_5,hi,380,0.7442169120463674,0.5584212248376417,69.6
claude_haiku_4_5,mr,380,0.7296401991025809,0.5363199123911133,55.6
claude_opus_4_7,en,380,0.7486557875175633,0.568921890068955,89.8
claude_opus_4_7,hi,380,0.7367568598990204,0.547234628025579,91.8
claude_opus_4_7,mr,380,0.7075250853474131,0.5045390630777629,79.8
cohere_command_a,en,380,0.7511459378163914,0.5718208742600618,80.2
cohere_command_a,hi,380,0.7373095980380672,0.5488268936036449,82.9
cohere_command_a,mr,380,0.7150138846609135,0.5161871564398839,58.4
gemini_3_1_flash_lite,en,380,0.7628347346601952,0.5892916186381563,77.7
gemini_3_1_flash_lite,hi,380,0.7201244128633802,0.5233887734251204,84.1
gemini_3_1_flash_lite,mr,380,0.6435219715156065,0.41782165296564333,72.5
gemini_3_flash,en,380,0.7576796551824307,0.5814532760626479,82.9
gemini_3_flash,hi,380,0.7018316263269717,0.49679934535307324,102.7
gemini_3_flash,mr,380,0.6432469577310549,0.41720422377859456,79.7
gemini_3_pro,en,380,0.754800927874094,0.5760971467074815,84.5
gemini_3_pro,hi,380,0.7415951561648894,0.5573694214787124,81.5
gemini_3_pro,mr,380,0.680284513424588,0.47390268570313365,64.2
gemma_3_27b,en,380,0.7597010377830681,0.5840494009872346,77.4
gemma_3_27b,hi,380,0.7188663299091456,0.5218621493140685,85.8
gemma_3_27b,mr,380,0.6761626004960115,0.4618467350861457,61.9
gpt_4o_mini,en,380,0.7502180292209558,0.5710898827812543,79.5
gpt_4o_mini,hi,380,0.7239018387603707,0.5290071342010509,79.8
gpt_4o_mini,mr,380,0.6735521834431266,0.45827513087999583,58.3
gpt_5_mini,en,380,0.7586653630516782,0.58376161210511,80.1
gpt_5_mini,hi,380,0.7307486290385988,0.5384232534483683,83.8
gpt_5_mini,mr,380,0.6985457708430985,0.49197639452472586,65.5
llama_3_3_70b,en,380,0.7510973202446526,0.571236202828709,61.8
llama_3_3_70b,hi,380,0.7472533005500045,0.5633169119661745,53.4
llama_3_3_70b,mr,380,0.7251188004630029,0.5303220237672739,36.6
llama_4_maverick,en,380,0.7603233947044756,0.585783662298013,68.7
llama_4_maverick,hi,380,0.7473515304965355,0.563563748414516,71.0
llama_4_maverick,mr,380,0.7097259271631104,0.5085727756298317,51.5
medgemma_27b,en,231,0.774828178764008,0.6084748613602278,79.9
medgemma_27b,hi,231,0.7121057504698286,0.5123490766162837,84.7
medgemma_27b,mr,231,0.672774894839381,0.4583436216826535,61.0
medgemma_4b,en,231,0.7834582332871394,0.6210803563341896,98.1
medgemma_4b,hi,231,0.7249316076369563,0.531095398042489,232.7
medgemma_4b,mr,231,0.7101181977055059,0.5089090260425286,147.7
