judge,gen_model,dataset,lang,mqs,ci_lo,ci_hi,ci_halfwidth,boot_se,n_questions,n_responses
cohere_command_a,aya_expanse,expert,en,0.1615,0.1443,0.1796,0.0176,0.0091,149,445
cohere_command_a,aya_expanse,expert,hi,0.1776,0.1585,0.1977,0.0196,0.0101,149,444
cohere_command_a,aya_expanse,expert,mr,0.1545,0.1353,0.1751,0.0199,0.0102,149,447
cohere_command_a,aya_expanse,non_expert,en,0.2067,0.1906,0.2227,0.016,0.0082,231,691
cohere_command_a,aya_expanse,non_expert,hi,0.22,0.2025,0.2375,0.0175,0.0089,231,691
cohere_command_a,aya_expanse,non_expert,mr,0.2118,0.194,0.2302,0.0181,0.0092,231,690
cohere_command_a,claude_haiku_4_5,expert,en,0.185,0.1656,0.2055,0.0199,0.0101,149,446
cohere_command_a,claude_haiku_4_5,expert,hi,0.2241,0.1997,0.2491,0.0247,0.0125,149,447
cohere_command_a,claude_haiku_4_5,expert,mr,0.2299,0.2054,0.2555,0.0251,0.0128,149,447
cohere_command_a,claude_haiku_4_5,non_expert,en,0.2459,0.2272,0.2645,0.0186,0.0094,231,693
cohere_command_a,claude_haiku_4_5,non_expert,hi,0.2921,0.2731,0.3113,0.0191,0.0097,231,690
cohere_command_a,claude_haiku_4_5,non_expert,mr,0.2944,0.2752,0.3135,0.0191,0.0097,231,691
cohere_command_a,claude_opus_4_7,expert,en,0.219,0.196,0.2428,0.0234,0.012,149,446
cohere_command_a,claude_opus_4_7,expert,hi,0.2768,0.2479,0.3058,0.029,0.015,149,446
cohere_command_a,claude_opus_4_7,expert,mr,0.285,0.2508,0.3205,0.0348,0.0177,121,121
cohere_command_a,claude_opus_4_7,non_expert,mr,0.3404,0.3122,0.3687,0.0282,0.0146,113,113
cohere_command_a,cohere_command_a,expert,en,0.1663,0.1488,0.1847,0.018,0.0092,149,447
cohere_command_a,cohere_command_a,expert,hi,0.2053,0.1826,0.2295,0.0235,0.012,149,447
cohere_command_a,cohere_command_a,expert,mr,0.1911,0.1695,0.214,0.0222,0.0113,149,446
cohere_command_a,cohere_command_a,non_expert,en,0.2238,0.2075,0.2408,0.0166,0.0086,231,689
cohere_command_a,cohere_command_a,non_expert,hi,0.2551,0.2362,0.2739,0.0188,0.0095,229,676
cohere_command_a,cohere_command_a,non_expert,mr,0.2367,0.2187,0.255,0.0181,0.0093,231,693
cohere_command_a,gemini_3_1_flash_lite,expert,en,0.1679,0.1504,0.1869,0.0183,0.0094,149,447
cohere_command_a,gemini_3_1_flash_lite,expert,hi,0.205,0.182,0.2285,0.0233,0.0118,149,447
cohere_command_a,gemini_3_1_flash_lite,expert,mr,0.2231,0.1988,0.2482,0.0247,0.0127,149,444
cohere_command_a,gemini_3_1_flash_lite,non_expert,en,0.22,0.2035,0.2368,0.0167,0.0086,231,677
cohere_command_a,gemini_3_1_flash_lite,non_expert,hi,0.2739,0.2551,0.2924,0.0186,0.0095,231,692
cohere_command_a,gemini_3_1_flash_lite,non_expert,mr,0.3047,0.2849,0.3245,0.0198,0.0103,231,692
cohere_command_a,gemini_3_flash,expert,en,0.176,0.1579,0.1952,0.0186,0.0095,149,447
cohere_command_a,gemini_3_flash,expert,hi,0.2229,0.1985,0.2481,0.0248,0.0127,149,447
cohere_command_a,gemini_3_flash,expert,mr,0.2489,0.223,0.2762,0.0266,0.0136,149,447
cohere_command_a,gemini_3_flash,non_expert,en,0.2341,0.2165,0.2516,0.0175,0.0088,231,692
cohere_command_a,gemini_3_flash,non_expert,hi,0.287,0.2682,0.3048,0.0183,0.0094,231,691
cohere_command_a,gemini_3_flash,non_expert,mr,0.3189,0.2988,0.3391,0.0201,0.0103,231,693
cohere_command_a,gemini_3_pro,expert,en,0.1743,0.1563,0.193,0.0184,0.0094,149,447
cohere_command_a,gemini_3_pro,expert,hi,0.187,0.1647,0.2108,0.023,0.0118,149,446
cohere_command_a,gemini_3_pro,expert,mr,0.2035,0.1807,0.2273,0.0233,0.012,149,447
cohere_command_a,gemini_3_pro,non_expert,en,0.2279,0.2107,0.2453,0.0173,0.0088,231,690
cohere_command_a,gemini_3_pro,non_expert,hi,0.2552,0.2371,0.2732,0.018,0.0092,231,692
cohere_command_a,gemini_3_pro,non_expert,mr,0.2795,0.2597,0.2985,0.0194,0.0098,231,691
