judge,gen_model,dataset,lang,mqs,ci_lo,ci_hi,ci_halfwidth,boot_se,n_questions,n_responses
gpt_4o_mini,aya_expanse,expert,en,0.2891,0.2601,0.3182,0.029,0.0147,149,447
gpt_4o_mini,aya_expanse,expert,hi,0.3179,0.2862,0.351,0.0324,0.0165,149,447
gpt_4o_mini,aya_expanse,expert,mr,0.2726,0.2439,0.3028,0.0295,0.0149,149,447
gpt_4o_mini,aya_expanse,non_expert,en,0.3824,0.3582,0.4074,0.0246,0.0127,231,693
gpt_4o_mini,aya_expanse,non_expert,hi,0.3691,0.3443,0.3944,0.0251,0.0129,231,693
gpt_4o_mini,aya_expanse,non_expert,mr,0.3374,0.3125,0.3622,0.0248,0.0126,231,693
gpt_4o_mini,claude_haiku_4_5,expert,en,0.3053,0.2747,0.3361,0.0307,0.0158,126,378
gpt_4o_mini,claude_haiku_4_5,expert,hi,0.3378,0.3029,0.3741,0.0356,0.0182,126,262
gpt_4o_mini,claude_haiku_4_5,expert,mr,0.3433,0.3075,0.3784,0.0355,0.0179,126,262
gpt_4o_mini,claude_haiku_4_5,non_expert,en,0.4224,0.3931,0.4512,0.029,0.0147,231,580
gpt_4o_mini,claude_haiku_4_5,non_expert,hi,0.4343,0.4069,0.4621,0.0276,0.0141,231,579
gpt_4o_mini,claude_haiku_4_5,non_expert,mr,0.4061,0.3773,0.4336,0.0282,0.0145,231,693
gpt_4o_mini,claude_opus_4_7,expert,en,0.3334,0.2998,0.3674,0.0338,0.0172,149,447
gpt_4o_mini,claude_opus_4_7,expert,hi,0.3869,0.3495,0.4243,0.0374,0.019,149,447
gpt_4o_mini,claude_opus_4_7,expert,mr,0.4342,0.3973,0.4694,0.036,0.0185,149,447
gpt_4o_mini,claude_opus_4_7,non_expert,en,0.4603,0.4311,0.489,0.0289,0.0148,231,693
gpt_4o_mini,claude_opus_4_7,non_expert,hi,0.4918,0.4626,0.521,0.0292,0.0151,231,693
gpt_4o_mini,claude_opus_4_7,non_expert,mr,0.4635,0.4311,0.4957,0.0323,0.0166,231,693
gpt_4o_mini,cohere_command_a,expert,en,0.2558,0.2287,0.2823,0.0268,0.0137,126,378
gpt_4o_mini,cohere_command_a,expert,hi,0.3021,0.2697,0.3343,0.0323,0.0166,126,378
gpt_4o_mini,cohere_command_a,expert,mr,0.2818,0.2516,0.3127,0.0305,0.0156,126,378
gpt_4o_mini,cohere_command_a,non_expert,en,0.3929,0.3665,0.4192,0.0264,0.0133,231,693
gpt_4o_mini,cohere_command_a,non_expert,hi,0.3807,0.3541,0.4081,0.027,0.0138,231,693
gpt_4o_mini,cohere_command_a,non_expert,mr,0.3513,0.324,0.3779,0.027,0.0137,231,693
gpt_4o_mini,gemini_3_flash,expert,en,0.2664,0.237,0.2953,0.0291,0.015,126,378
gpt_4o_mini,gemini_3_flash,expert,hi,0.307,0.2744,0.3388,0.0322,0.0165,126,378
gpt_4o_mini,gemini_3_flash,expert,mr,0.3209,0.2882,0.3539,0.0328,0.0166,126,378
gpt_4o_mini,gemini_3_flash,non_expert,en,0.3964,0.3703,0.4222,0.0259,0.0133,231,693
gpt_4o_mini,gemini_3_flash,non_expert,hi,0.4079,0.3795,0.4362,0.0284,0.0145,231,693
gpt_4o_mini,gemini_3_flash,non_expert,mr,0.4037,0.3737,0.4329,0.0296,0.0152,231,693
gpt_4o_mini,gemini_3_pro,expert,en,0.2552,0.2288,0.2818,0.0265,0.0135,126,378
gpt_4o_mini,gemini_3_pro,expert,hi,0.2956,0.2633,0.3286,0.0326,0.0166,126,364
gpt_4o_mini,gemini_3_pro,expert,mr,0.2886,0.2576,0.3206,0.0315,0.0161,126,364
gpt_4o_mini,gemini_3_pro,non_expert,en,0.3871,0.3621,0.4114,0.0246,0.0127,231,679
gpt_4o_mini,gemini_3_pro,non_expert,hi,0.3856,0.3589,0.4117,0.0264,0.0135,231,681
gpt_4o_mini,gemini_3_pro,non_expert,mr,0.3819,0.3541,0.41,0.0279,0.0144,231,693
gpt_4o_mini,gemma_3_27b,expert,en,0.2659,0.2377,0.2944,0.0283,0.0145,126,378
gpt_4o_mini,gemma_3_27b,expert,hi,0.2925,0.2608,0.3245,0.0318,0.0162,126,378
gpt_4o_mini,gemma_3_27b,expert,mr,0.2814,0.2522,0.3105,0.0291,0.0149,126,378
gpt_4o_mini,gemma_3_27b,non_expert,en,0.395,0.3697,0.4203,0.0253,0.0129,231,693
gpt_4o_mini,gemma_3_27b,non_expert,hi,0.3956,0.3696,0.4217,0.026,0.0133,231,693
gpt_4o_mini,gemma_3_27b,non_expert,mr,0.3883,0.3605,0.4156,0.0275,0.0142,231,693
