dataset,lang,model_a,model_b,n_shared,mean_diff,ci_lo,ci_hi,p_raw,p_bh_fdr,significant_fdr_05
expert,en,aya_expanse,claude_haiku_4_5,126,-0.0455,-0.0599,-0.0313,0.0,0.0,True
expert,en,aya_expanse,claude_opus_4_7,149,-0.0443,-0.0604,-0.0279,0.0,0.0,True
expert,en,aya_expanse,cohere_command_a,126,0.0039,-0.0069,0.0152,0.4916,0.5499,False
expert,en,aya_expanse,gemini_3_flash,126,-0.0066,-0.0216,0.0085,0.3758,0.4351,False
expert,en,aya_expanse,gemini_3_pro,126,0.0045,-0.0081,0.0172,0.486,0.5499,False
expert,en,aya_expanse,gemma_3_27b,126,-0.0061,-0.0199,0.0072,0.3742,0.4351,False
expert,en,aya_expanse,gpt_4o_mini,126,0.0183,0.0047,0.0322,0.0064,0.0111,True
expert,en,aya_expanse,gpt_5_mini,126,-0.0387,-0.0541,-0.0238,0.0,0.0,True
expert,en,aya_expanse,llama_3_3_70b,126,0.0262,0.0145,0.0384,0.0,0.0,True
expert,en,aya_expanse,llama_4_maverick,126,0.0064,-0.0063,0.0198,0.3242,0.389,False
expert,en,aya_expanse,medgemma_27b,149,-0.0103,-0.0228,0.0019,0.0994,0.1475,False
expert,en,claude_haiku_4_5,claude_opus_4_7,126,0.0084,-0.0073,0.0255,0.3044,0.3791,False
expert,en,claude_haiku_4_5,cohere_command_a,126,0.0495,0.0352,0.065,0.0,0.0,True
expert,en,claude_haiku_4_5,gemini_3_flash,126,0.0389,0.0235,0.0547,0.0,0.0,True
expert,en,claude_haiku_4_5,gemini_3_pro,126,0.05,0.0358,0.0652,0.0,0.0,True
expert,en,claude_haiku_4_5,gemma_3_27b,126,0.0394,0.0252,0.054,0.0,0.0,True
expert,en,claude_haiku_4_5,gpt_4o_mini,126,0.0638,0.0483,0.0799,0.0,0.0,True
expert,en,claude_haiku_4_5,gpt_5_mini,126,0.0068,-0.0063,0.0206,0.318,0.3887,False
expert,en,claude_haiku_4_5,llama_3_3_70b,126,0.0718,0.0575,0.0868,0.0,0.0,True
expert,en,claude_haiku_4_5,llama_4_maverick,126,0.0519,0.0378,0.0666,0.0,0.0,True
expert,en,claude_haiku_4_5,medgemma_27b,126,0.0423,0.029,0.0563,0.0,0.0,True
expert,en,claude_opus_4_7,cohere_command_a,126,0.041,0.0261,0.0563,0.0,0.0,True
expert,en,claude_opus_4_7,gemini_3_flash,126,0.0305,0.0142,0.0463,0.0008,0.0015,True
expert,en,claude_opus_4_7,gemini_3_pro,126,0.0416,0.0263,0.0562,0.0,0.0,True
expert,en,claude_opus_4_7,gemma_3_27b,126,0.031,0.015,0.046,0.0002,0.0004,True
expert,en,claude_opus_4_7,gpt_4o_mini,126,0.0554,0.0393,0.072,0.0,0.0,True
expert,en,claude_opus_4_7,gpt_5_mini,126,-0.0016,-0.0151,0.0117,0.8092,0.8345,False
expert,en,claude_opus_4_7,llama_3_3_70b,126,0.0634,0.046,0.0799,0.0,0.0,True
expert,en,claude_opus_4_7,llama_4_maverick,126,0.0435,0.0248,0.0607,0.0,0.0,True
expert,en,claude_opus_4_7,medgemma_27b,149,0.034,0.0192,0.0488,0.0,0.0,True
expert,en,cohere_command_a,gemini_3_flash,126,-0.0105,-0.0222,0.0015,0.0802,0.126,False
expert,en,cohere_command_a,gemini_3_pro,126,0.0006,-0.0094,0.0108,0.908,0.9092,False
expert,en,cohere_command_a,gemma_3_27b,126,-0.0101,-0.0229,0.0024,0.1136,0.1562,False
expert,en,cohere_command_a,gpt_4o_mini,126,0.0144,0.003,0.026,0.0128,0.0217,True
expert,en,cohere_command_a,gpt_5_mini,126,-0.0426,-0.0566,-0.0292,0.0,0.0,True
expert,en,cohere_command_a,llama_3_3_70b,126,0.0223,0.011,0.0336,0.0002,0.0004,True
expert,en,cohere_command_a,llama_4_maverick,126,0.0024,-0.0101,0.0147,0.6952,0.7401,False
expert,en,cohere_command_a,medgemma_27b,126,-0.0072,-0.017,0.0032,0.1728,0.2281,False
expert,en,gemini_3_flash,gemini_3_pro,126,0.0111,-0.0033,0.0251,0.1282,0.1727,False
expert,en,gemini_3_flash,gemma_3_27b,126,0.0005,-0.0132,0.0137,0.9092,0.9092,False
expert,en,gemini_3_flash,gpt_4o_mini,126,0.0249,0.0119,0.0383,0.0004,0.0008,True
expert,en,gemini_3_flash,gpt_5_mini,126,-0.0321,-0.0467,-0.0181,0.0,0.0,True
expert,en,gemini_3_flash,llama_3_3_70b,126,0.0328,0.0196,0.0463,0.0,0.0,True
expert,en,gemini_3_flash,llama_4_maverick,126,0.013,-0.003,0.0279,0.105,0.1507,False
expert,en,gemini_3_flash,medgemma_27b,126,0.0034,-0.0081,0.0149,0.5526,0.6079,False
expert,en,gemini_3_pro,gemma_3_27b,126,-0.0106,-0.0232,0.0026,0.1108,0.1556,False
expert,en,gemini_3_pro,gpt_4o_mini,126,0.0138,0.002,0.0261,0.0206,0.034,True
