gen_model,dataset,lang,n,mqs_mean,mqs_std
aya_expanse,expert,en,447,0.2891,0.1868
aya_expanse,expert,hi,447,0.3179,0.2114
aya_expanse,expert,mr,447,0.2726,0.1979
aya_expanse,non_expert,en,693,0.3824,0.2077
aya_expanse,non_expert,hi,693,0.3691,0.203
aya_expanse,non_expert,mr,693,0.3374,0.2041
claude_haiku_4_5,expert,en,378,0.3053,0.1865
claude_haiku_4_5,expert,hi,262,0.3378,0.2061
claude_haiku_4_5,expert,mr,262,0.3433,0.2087
claude_haiku_4_5,non_expert,en,580,0.4224,0.2273
claude_haiku_4_5,non_expert,hi,579,0.4343,0.2195
claude_haiku_4_5,non_expert,mr,693,0.4061,0.2327
claude_opus_4_7,expert,en,447,0.3334,0.2188
claude_opus_4_7,expert,hi,447,0.3869,0.2399
claude_opus_4_7,expert,mr,447,0.4342,0.2417
claude_opus_4_7,non_expert,en,693,0.4603,0.2347
claude_opus_4_7,non_expert,hi,693,0.4918,0.2591
claude_opus_4_7,non_expert,mr,693,0.4635,0.2763
cohere_command_a,expert,en,378,0.2558,0.165
cohere_command_a,expert,hi,378,0.3021,0.1954
cohere_command_a,expert,mr,378,0.2818,0.1896
cohere_command_a,non_expert,en,693,0.3929,0.2112
cohere_command_a,non_expert,hi,693,0.3807,0.2275
cohere_command_a,non_expert,mr,693,0.3513,0.2263
gemini_3_flash,expert,en,378,0.2664,0.1747
gemini_3_flash,expert,hi,378,0.307,0.1961
gemini_3_flash,expert,mr,378,0.3209,0.1995
gemini_3_flash,non_expert,en,693,0.3964,0.2147
gemini_3_flash,non_expert,hi,693,0.4079,0.2333
gemini_3_flash,non_expert,mr,693,0.4037,0.2468
gemini_3_pro,expert,en,378,0.2552,0.1635
gemini_3_pro,expert,hi,364,0.2956,0.1928
gemini_3_pro,expert,mr,364,0.2886,0.1922
gemini_3_pro,non_expert,en,679,0.3871,0.2064
gemini_3_pro,non_expert,hi,681,0.3856,0.2234
gemini_3_pro,non_expert,mr,693,0.3819,0.2382
gemma_3_27b,expert,en,378,0.2659,0.1694
gemma_3_27b,expert,hi,378,0.2925,0.1902
gemma_3_27b,expert,mr,378,0.2814,0.177
gemma_3_27b,non_expert,en,693,0.395,0.2076
gemma_3_27b,non_expert,hi,693,0.3956,0.2123
gemma_3_27b,non_expert,mr,693,0.3883,0.2273
gpt_4o_mini,expert,en,378,0.2414,0.1543
gpt_4o_mini,expert,hi,378,0.2701,0.1675
gpt_4o_mini,expert,mr,378,0.2499,0.1671
gpt_4o_mini,non_expert,en,693,0.3761,0.2036
gpt_4o_mini,non_expert,hi,693,0.3749,0.2044
gpt_4o_mini,non_expert,mr,693,0.3592,0.2166
gpt_5_mini,expert,en,378,0.2985,0.1826
gpt_5_mini,expert,hi,378,0.3249,0.2016
gpt_5_mini,expert,mr,378,0.31,0.1964
gpt_5_mini,non_expert,en,693,0.4179,0.2191
gpt_5_mini,non_expert,hi,693,0.4193,0.2408
gpt_5_mini,non_expert,mr,693,0.4195,0.2421
llama_3_3_70b,expert,en,370,0.2327,0.1488
llama_3_3_70b,expert,hi,345,0.2681,0.1642
llama_3_3_70b,expert,mr,232,0.2606,0.1675
llama_3_3_70b,non_expert,en,693,0.3689,0.2025
llama_3_3_70b,non_expert,hi,693,0.363,0.1859
llama_3_3_70b,non_expert,mr,693,0.3493,0.1992
llama_4_maverick,expert,en,231,0.2537,0.1648
llama_4_maverick,expert,hi,246,0.2799,0.1732
llama_4_maverick,expert,mr,270,0.2787,0.1714
llama_4_maverick,non_expert,en,693,0.3638,0.1976
llama_4_maverick,non_expert,hi,693,0.376,0.204
llama_4_maverick,non_expert,mr,693,0.3687,0.2123
medgemma_27b,expert,en,447,0.2993,0.1945
medgemma_27b,expert,hi,447,0.3226,0.2133
medgemma_27b,expert,mr,447,0.3205,0.2144
medgemma_27b,non_expert,en,693,0.394,0.2095
medgemma_27b,non_expert,hi,693,0.3921,0.214
medgemma_27b,non_expert,mr,693,0.3829,0.2275
medgemma_4b,non_expert,en,693,0.326,0.2149
medgemma_4b,non_expert,hi,693,0.328,0.1994
medgemma_4b,non_expert,mr,693,0.3305,0.2111
