gen_model,dataset,lang,theme,n,mqs_mean
aya_expanse,expert,en,Antenatal & Maternal Health Care,327,0.2595
aya_expanse,expert,en,Clinical Procedures & Guidelines,12,0.1361
aya_expanse,expert,en,"Health Systems, Access & Provider Support",6,0.4417
aya_expanse,expert,en,Infection Prevention & Hygiene Practices,6,0.3583
aya_expanse,expert,en,Medication & Vaccination Safety,15,0.2889
aya_expanse,expert,en,"Mental, Emotional & Social Well-being",9,0.4426
aya_expanse,expert,en,"Nutrition, Diet & Supplementation",54,0.4519
aya_expanse,expert,en,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2333
aya_expanse,expert,en,Risk & Complication Management,6,0.2667
aya_expanse,expert,en,Symptom Interpretation & Danger Sign Recognition,6,0.3667
aya_expanse,expert,hi,Antenatal & Maternal Health Care,327,0.2791
aya_expanse,expert,hi,Clinical Procedures & Guidelines,12,0.0931
aya_expanse,expert,hi,"Health Systems, Access & Provider Support",6,0.4333
aya_expanse,expert,hi,Infection Prevention & Hygiene Practices,6,0.4389
aya_expanse,expert,hi,Medication & Vaccination Safety,15,0.32
aya_expanse,expert,hi,"Mental, Emotional & Social Well-being",9,0.6907
aya_expanse,expert,hi,"Nutrition, Diet & Supplementation",54,0.521
aya_expanse,expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2361
aya_expanse,expert,hi,Risk & Complication Management,6,0.2722
aya_expanse,expert,hi,Symptom Interpretation & Danger Sign Recognition,6,0.3833
aya_expanse,expert,mr,Antenatal & Maternal Health Care,327,0.2342
aya_expanse,expert,mr,Clinical Procedures & Guidelines,12,0.1903
aya_expanse,expert,mr,"Health Systems, Access & Provider Support",6,0.4167
aya_expanse,expert,mr,Infection Prevention & Hygiene Practices,6,0.3417
aya_expanse,expert,mr,Medication & Vaccination Safety,15,0.2333
aya_expanse,expert,mr,"Mental, Emotional & Social Well-being",9,0.3963
aya_expanse,expert,mr,"Nutrition, Diet & Supplementation",54,0.4858
aya_expanse,expert,mr,Reproductive & Sexual Health (Beyond Pregnancy),6,0.2778
aya_expanse,expert,mr,Risk & Complication Management,6,0.2139
aya_expanse,expert,mr,Symptom Interpretation & Danger Sign Recognition,6,0.3667
aya_expanse,non_expert,en,Antenatal & Maternal Health Care,120,0.2611
aya_expanse,non_expert,en,Clinical Procedures & Guidelines,30,0.1728
aya_expanse,non_expert,en,"Health Systems, Access & Provider Support",60,0.3517
aya_expanse,non_expert,en,Infection Prevention & Hygiene Practices,120,0.3517
aya_expanse,non_expert,en,Medication & Vaccination Safety,30,0.3717
aya_expanse,non_expert,en,"Mental, Emotional & Social Well-being",48,0.4517
aya_expanse,non_expert,en,"Nutrition, Diet & Supplementation",120,0.6449
aya_expanse,non_expert,en,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3419
aya_expanse,non_expert,en,Risk & Complication Management,60,0.2022
aya_expanse,non_expert,en,Symptom Interpretation & Danger Sign Recognition,60,0.4572
aya_expanse,non_expert,hi,Antenatal & Maternal Health Care,120,0.2767
aya_expanse,non_expert,hi,Clinical Procedures & Guidelines,30,0.1744
aya_expanse,non_expert,hi,"Health Systems, Access & Provider Support",60,0.3492
aya_expanse,non_expert,hi,Infection Prevention & Hygiene Practices,120,0.3775
aya_expanse,non_expert,hi,Medication & Vaccination Safety,30,0.3667
aya_expanse,non_expert,hi,"Mental, Emotional & Social Well-being",48,0.3927
aya_expanse,non_expert,hi,"Nutrition, Diet & Supplementation",120,0.5786
aya_expanse,non_expert,hi,Reproductive & Sexual Health (Beyond Pregnancy),45,0.3319
